Survey_ID,Customer_ID,Store_Location,Visit_Date,Purchase_Amount,Wait_Time_Min,Staff_Rating,Product_Rating,Cleanliness_Rating,Recommend,Total_Rating
SURV0080,CUST0332,San Francisco,2024-03-13,66.78,14.0,7.0,8.0,10.0,Yes,8.3
SURV0538,CUST0155,San Francisco,2024-07-23,131.2,23.0,1.0,7.0,3.0,Yes,3.7
SURV0325,CUST0035,Boston,2024-08-10,477.88,31.0,10.0,4.0,4.0,Yes,6.0
SURV0087,CUST0084,Dallas,2024-06-11,367.51,30.0,7.0,3.0,8.0,Yes,6.0
SURV0010,CUST0280,Los Angeles,2024-04-22,356.96,37.0,6.0,1.0,9.0,Yes,5.3
SURV0375,CUST0279,Houston,2024-03-10,44.88,1.0,7.0,2.0,7.0,Yes,5.3
SURV0264,CUST0128,Seattle,2024-04-22,263.98,40.0,8.0,4.0,10.0,No,7.3
SURV0219,CUST0284,Los Angeles,2024-06-15,328.32,20.0,3.0,7.0,6.0,Yes,5.3
SURV0416,CUST0283,Dallas,2024-04-20,229.74,28.0,1.0,2.0,2.0,Yes,1.7
SURV0276,CUST0227,Chicago,2024-06-12,255.74,17.0,3.0,4.0,9.0,No,5.3
SURV0528,CUST0284,Chicago,2024-03-16,143.97,25.0,6.0,8.0,4.0,No,6.0
SURV0389,CUST0055,New York,2024-05-15,377.8,2.0,1.0,6.0,6.0,Yes,4.3
SURV0191,CUST0065,Boston,2024-04-10,55.62,26.0,5.0,7.0,6.0,Yes,6.0
SURV0547,CUST0311,Boston,2024-04-14,65.64,38.0,8.0,6.0,5.0,Yes,6.3
SURV0102,CUST0109,Seattle,2024-04-16,321.84,24.0,10.0,4.0,10.0,Yes,8.0
SURV0078,CUST0137,San Francisco,2024-06-05,46.28,26.0,10.0,10.0,8.0,No,9.3
SURV0500,CUST0198,Seattle,2024-07-07,493.24,2.0,5.0,1.0,3.0,Yes,3.0
SURV0178,CUST0010,San Francisco,2024-05-10,199.5,15.0,5.0,7.0,4.0,Yes,5.3
SURV0156,CUST0233,Los Angeles,2024-05-20,128.61,6.0,9.0,5.0,3.0,Yes,5.7
SURV0272,CUST0143,Chicago,2024-06-09,406.96,23.0,7.0,1.0,8.0,No,5.3
SURV0397,CUST0105,Atlanta,2024-08-14,430.62,44.0,6.0,2.0,2.0,Yes,3.3
SURV0186,CUST0041,Dallas,2024-08-16,333.39,26.0,4.0,8.0,10.0,No,7.3
SURV0076,CUST0108,San Francisco,2024-06-24,367.21,41.0,1.0,2.0,,No,4.0
SURV0421,CUST0039,New York,2024-08-25,397.87,13.0,6.0,3.0,9.0,Yes,6.0
SURV0341,CUST0268,Chicago,2024-08-26,250.89,43.0,1.0,9.0,9.0,Yes,6.3
SURV0262,CUST0174,Los Angeles,2024-07-09,495.13,25.0,8.0,10.0,9.0,No,9.0
SURV0069,CUST0143,New York,2024-07-26,46.53,28.0,2.0,2.0,1.0,Yes,1.7
SURV0287,CUST0249,Atlanta,2024-05-04,238.14,8.0,1.0,10.0,6.0,No,5.7
SURV0064,CUST0149,Chicago,2024-06-01,184.81,32.0,10.0,7.0,3.0,No,6.7
SURV0145,CUST0349,Seattle,2024-04-27,149.57,41.0,7.0,9.0,10.0,Yes,8.7
SURV0396,CUST0176,Dallas,2024-07-10,466.07,43.0,1.0,5.0,5.0,No,3.7
SURV0016,CUST0048,San Francisco,2024-03-15,99.87,38.0,10.0,5.0,5.0,Yes,6.7
SURV0317,CUST0272,Boston,2024-07-05,210.39,8.0,2.0,6.0,8.0,Yes,5.3
SURV0193,CUST0338,Dallas,2024-04-10,451.2,19.0,10.0,1.0,3.0,Yes,4.7
SURV0089,CUST0195,Los Angeles,2024-05-11,444.73,17.0,6.0,5.0,10.0,No,7.0
SURV0523,CUST0342,New York,2024-04-20,485.26,14.0,10.0,7.0,9.0,Yes,8.7
SURV0371,CUST0190,Houston,2024-03-15,59.38,21.0,10.0,,10.0,Yes,8.0
SURV0034,CUST0175,Dallas,2024-07-11,474.95,4.0,8.0,5.0,6.0,Yes,6.3
SURV0332,CUST0297,San Francisco,2024-07-13,381.34,20.0,3.0,5.0,5.0,Yes,4.3
SURV0118,CUST0300,Chicago,2024-08-27,101.42,28.0,2.0,9.0,4.0,No,5.0
SURV0212,CUST0062,Boston,2024-07-10,349.03,23.0,1.0,10.0,7.0,No,6.0
SURV0001,CUST0328,Seattle,2024-06-15,193.52,12.0,9.0,3.0,9.0,No,7.0
SURV0495,CUST0161,Atlanta,2024-03-26,237.21,1.0,1.0,8.0,10.0,Yes,6.3
SURV0012,CUST0303,Los Angeles,2024-04-05,485.26,14.0,2.0,6.0,10.0,Yes,6.0
SURV0292,CUST0085,Chicago,2024-06-02,28.3,30.0,8.0,7.0,2.0,Yes,5.7
SURV0023,CUST0102,San Francisco,2024-08-01,153.15,27.0,1.0,4.0,10.0,Yes,5.0
SURV0507,CUST0267,Los Angeles,2024-07-09,456.35,38.0,7.0,2.0,7.0,Yes,5.3
SURV0258,CUST0331,New York,2024-06-15,351.05,4.0,2.0,3.0,5.0,Yes,3.3
SURV0339,CUST0299,Atlanta,2024-06-23,242.35,23.0,6.0,2.0,1.0,Yes,3.0
SURV0311,CUST0161,Seattle,2024-04-16,225.1,31.0,6.0,8.0,10.0,Yes,8.0
SURV0090,CUST0139,Miami,2024-06-09,241.39,,6.0,9.0,2.0,Yes,5.7
SURV0138,CUST0196,New York,2024-07-21,354.48,22.0,1.0,5.0,1.0,Yes,2.3
SURV0470,CUST0338,San Francisco,2024-07-05,481.98,35.0,2.0,5.0,5.0,Yes,4.0
SURV0168,CUST0102,Houston,2024-05-08,101.39,37.0,9.0,3.0,1.0,Yes,4.3
SURV0019,CUST0259,New York,2024-08-23,221.65,34.0,5.0,1.0,2.0,Yes,2.7
SURV0452,CUST0171,Chicago,2024-08-22,283.62,33.0,10.0,2.0,8.0,Yes,6.7
SURV0409,CUST0002,Los Angeles,2024-05-01,453.64,21.0,1.0,3.0,2.0,No,2.0
SURV0532,CUST0341,Boston,2024-06-03,499.86,43.0,7.0,5.0,9.0,Yes,7.0
SURV0544,CUST0108,Boston,2024-08-04,339.13,42.0,5.0,6.0,5.0,Yes,5.3
SURV0330,CUST0292,Boston,2024-05-11,131.39,27.0,4.0,7.0,8.0,No,6.3
SURV0408,CUST0023,Boston,2024-08-13,15.31,28.0,4.0,7.0,4.0,No,5.0
SURV0354,CUST0235,Los Angeles,2024-07-23,89.84,4.0,2.0,6.0,2.0,No,3.3
SURV0055,CUST0322,Miami,2024-04-03,302.97,4.0,2.0,7.0,6.0,Yes,5.0
SURV0185,CUST0291,Chicago,2024-04-07,136.39,8.0,7.0,10.0,4.0,No,7.0
SURV0047,CUST0023,Houston,2024-03-23,162.74,43.0,4.0,2.0,9.0,Yes,5.0
SURV0094,CUST0167,Dallas,2024-07-02,285.03,35.0,9.0,6.0,7.0,Yes,7.3
SURV0335,CUST0318,Boston,2024-04-19,32.54,40.0,7.0,2.0,9.0,Yes,6.0
SURV0109,CUST0330,New York,2024-08-23,122.11,23.0,9.0,2.0,9.0,Yes,6.7
SURV0229,CUST0017,Dallas,2024-04-08,447.1,35.0,8.0,5.0,10.0,Yes,7.7
SURV0267,CUST0275,Dallas,2024-08-27,351.54,40.0,9.0,1.0,5.0,Yes,5.0
SURV0517,CUST0161,Boston,2024-07-04,194.47,10.0,1.0,1.0,8.0,No,3.3
SURV0546,CUST0297,San Francisco,2024-07-24,185.5,41.0,8.0,10.0,1.0,Yes,6.3
SURV0357,CUST0005,Boston,2024-05-28,22.99,8.0,9.0,6.0,3.0,No,6.0
SURV0337,CUST0215,Seattle,2024-06-02,429.18,6.0,2.0,1.0,10.0,Yes,4.3
SURV0189,CUST0036,Chicago,2024-07-20,269.53,5.0,4.0,4.0,1.0,Yes,3.0
SURV0350,CUST0068,Los Angeles,2024-04-14,316.67,43.0,3.0,10.0,7.0,Yes,6.7
SURV0209,CUST0225,Atlanta,2024-07-21,12.48,6.0,3.0,8.0,10.0,No,7.0
SURV0512,CUST0221,Dallas,2024-04-19,214.94,35.0,6.0,1.0,4.0,Yes,3.7
SURV0070,CUST0233,Los Angeles,2024-07-08,493.57,42.0,5.0,1.0,8.0,Yes,4.7
SURV0405,CUST0325,Houston,2024-07-10,166.82,43.0,9.0,2.0,1.0,Yes,4.0
SURV0164,CUST0153,Los Angeles,2024-06-21,272.53,9.0,2.0,2.0,4.0,Yes,2.7
SURV0291,CUST0031,Miami,2024-07-15,24.95,33.0,2.0,2.0,8.0,No,4.0
SURV0490,CUST0020,San Francisco,2024-04-04,446.23,19.0,5.0,5.0,4.0,No,4.7
SURV0150,CUST0329,New York,2024-06-11,146.54,45.0,1.0,7.0,8.0,No,5.3
SURV0125,CUST0261,Seattle,2024-03-12,,44.0,3.0,9.0,10.0,No,7.3
SURV0415,CUST0227,Atlanta,2024-05-25,319.6,22.0,1.0,9.0,6.0,No,5.3
SURV0183,CUST0030,Miami,2024-07-25,463.1,15.0,2.0,1.0,5.0,Yes,2.7
SURV0429,CUST0221,Atlanta,2024-08-05,181.95,29.0,2.0,4.0,8.0,Yes,4.7
SURV0200,CUST0217,Boston,2024-06-04,392.14,14.0,3.0,6.0,5.0,No,4.7
SURV0496,CUST0224,Miami,2024-05-08,183.14,5.0,3.0,9.0,6.0,No,6.0
SURV0422,CUST0077,Dallas,2024-08-22,396.91,30.0,7.0,9.0,5.0,Yes,7.0
SURV0382,CUST0284,New York,2024-04-03,351.4,26.0,6.0,9.0,1.0,Yes,5.3
SURV0520,CUST0154,Dallas,2024-05-17,83.7,32.0,8.0,8.0,1.0,No,5.7
SURV0404,CUST0048,New York,2024-07-12,414.96,29.0,1.0,4.0,3.0,Yes,2.7
SURV0115,CUST0288,Houston,2024-06-13,320.37,15.0,4.0,8.0,3.0,No,5.0
SURV0142,CUST0129,Dallas,2024-06-27,133.37,44.0,3.0,6.0,3.0,Yes,4.0
SURV0300,CUST0285,Los Angeles,2024-06-23,51.82,27.0,5.0,8.0,6.0,Yes,6.3
SURV0425,CUST0190,Dallas,2024-08-02,38.2,32.0,7.0,9.0,6.0,Yes,7.3
SURV0027,CUST0113,Seattle,2024-08-17,107.84,24.0,3.0,5.0,7.0,Yes,5.0
SURV0020,CUST0309,Dallas,2024-06-16,152.7,18.0,10.0,8.0,6.0,No,8.0
SURV0173,CUST0272,Los Angeles,2024-07-17,260.93,2.0,9.0,2.0,6.0,Yes,5.7
SURV0401,CUST0251,Houston,2024-06-28,60.53,6.0,3.0,4.0,7.0,Yes,4.7
SURV0057,CUST0186,Chicago,2024-05-18,53.36,4.0,9.0,2.0,9.0,Yes,6.7
SURV0306,CUST0112,New York,2024-07-01,488.17,5.0,4.0,7.0,5.0,Yes,5.3
SURV0491,CUST0056,Chicago,2024-06-03,233.27,36.0,4.0,10.0,1.0,Yes,5.0
SURV0400,CUST0259,Miami,2024-05-07,379.73,7.0,6.0,2.0,10.0,No,6.0
SURV0383,CUST0154,Miami,2024-07-28,318.18,41.0,6.0,2.0,7.0,No,5.0
SURV0527,CUST0152,Atlanta,2024-08-01,213.26,45.0,5.0,3.0,9.0,Yes,5.7
SURV0536,CUST0316,Houston,2024-05-20,472.94,45.0,7.0,4.0,7.0,Yes,6.0
SURV0364,CUST0110,San Francisco,2024-07-03,277.35,40.0,8.0,2.0,5.0,No,5.0
SURV0026,CUST0215,San Francisco,2024-04-26,394.74,33.0,4.0,9.0,2.0,Yes,5.0
SURV0457,CUST0082,Chicago,2024-04-16,15.56,,6.0,10.0,1.0,Yes,5.7
SURV0503,CUST0131,Atlanta,2024-04-26,161.67,12.0,2.0,,10.0,Yes,7.3
SURV0302,CUST0250,Los Angeles,2024-03-21,270.36,4.0,4.0,10.0,2.0,Yes,5.3
SURV0043,CUST0184,San Francisco,2024-08-09,26.85,6.0,8.0,2.0,10.0,No,6.7
SURV0369,CUST0036,Atlanta,2024-03-25,105.94,1.0,5.0,3.0,8.0,No,5.3
SURV0434,CUST0021,Atlanta,2024-07-12,59.55,18.0,3.0,5.0,4.0,No,4.0
SURV0514,CUST0341,Chicago,2024-04-09,434.37,44.0,2.0,8.0,6.0,Yes,5.3
SURV0236,CUST0249,New York,2024-04-10,364.0,9.0,9.0,1.0,6.0,Yes,5.3
SURV0480,CUST0205,San Francisco,2024-06-09,266.32,14.0,3.0,4.0,6.0,Yes,4.3
SURV0155,CUST0081,San Francisco,2024-05-11,492.97,21.0,10.0,7.0,1.0,No,6.0
SURV0127,CUST0047,Chicago,2024-08-12,410.83,17.0,8.0,1.0,6.0,Yes,5.0
SURV0273,CUST0237,San Francisco,2024-04-19,434.87,15.0,5.0,6.0,1.0,Yes,4.0
SURV0305,CUST0152,Atlanta,2024-04-10,365.78,10.0,2.0,9.0,5.0,No,5.3
SURV0395,CUST0108,Atlanta,2024-06-12,176.99,17.0,9.0,9.0,5.0,Yes,7.7
SURV0175,CUST0307,Atlanta,2024-08-18,326.13,28.0,4.0,4.0,1.0,Yes,3.0
SURV0032,CUST0082,San Francisco,2024-06-22,93.56,5.0,1.0,3.0,9.0,No,4.3
SURV0114,CUST0127,New York,2024-07-22,405.98,35.0,2.0,1.0,8.0,No,3.7
SURV0245,CUST0209,Boston,2024-03-18,17.57,8.0,10.0,2.0,10.0,No,7.3
SURV0174,CUST0001,Atlanta,2024-05-14,120.98,20.0,8.0,1.0,1.0,No,3.3
SURV0279,CUST0026,Miami,2024-03-28,353.96,14.0,10.0,5.0,9.0,No,8.0
SURV0439,CUST0342,Boston,2024-05-24,356.06,30.0,7.0,6.0,10.0,No,7.7
SURV0058,CUST0296,Miami,2024-06-14,106.03,25.0,9.0,10.0,6.0,No,8.3
SURV0285,CUST0086,Los Angeles,2024-06-03,293.36,3.0,7.0,3.0,9.0,Yes,6.3
SURV0025,CUST0280,Seattle,2024-06-08,233.47,38.0,5.0,2.0,8.0,No,5.0
SURV0018,CUST0120,Atlanta,2024-07-07,267.13,38.0,10.0,1.0,8.0,Yes,6.3
SURV0265,CUST0099,Miami,2024-07-19,439.91,8.0,1.0,8.0,5.0,No,4.7
SURV0067,CUST0052,Los Angeles,2024-06-18,,5.0,3.0,5.0,6.0,No,4.7
SURV0269,CUST0072,San Francisco,2024-03-25,186.15,32.0,10.0,3.0,7.0,Yes,6.7
SURV0438,CUST0128,Seattle,2024-06-26,412.71,28.0,9.0,4.0,2.0,Yes,5.0
SURV0483,CUST0170,Miami,2024-06-15,232.73,7.0,1.0,2.0,8.0,Yes,3.7
SURV0501,CUST0296,Dallas,2024-07-07,352.1,3.0,2.0,10.0,3.0,No,5.0
SURV0282,CUST0008,San Francisco,2024-06-10,175.62,39.0,2.0,6.0,5.0,Yes,4.3
SURV0473,CUST0169,Seattle,2024-08-23,31.15,14.0,3.0,3.0,1.0,Yes,2.3
SURV0228,CUST0035,Boston,2024-08-03,202.62,38.0,9.0,2.0,8.0,Yes,6.3
SURV0095,CUST0029,Boston,2024-05-08,387.77,15.0,10.0,9.0,2.0,Yes,7.0
SURV0181,CUST0158,Los Angeles,2024-04-11,177.12,38.0,8.0,7.0,9.0,Yes,8.0
SURV0453,CUST0211,New York,2024-05-19,217.87,23.0,3.0,5.0,7.0,Yes,5.0
SURV0093,CUST0113,Boston,2024-03-24,382.78,8.0,2.0,2.0,5.0,Yes,3.0
SURV0024,CUST0333,Los Angeles,2024-03-25,189.52,34.0,3.0,2.0,1.0,Yes,2.0
SURV0326,CUST0346,Houston,2024-07-19,371.57,36.0,7.0,6.0,10.0,Yes,7.7
SURV0355,CUST0162,Chicago,2024-06-21,44.58,5.0,3.0,3.0,3.0,No,3.0
SURV0275,CUST0039,Seattle,2024-06-03,260.56,25.0,9.0,7.0,3.0,Yes,6.3
SURV0006,CUST0115,Miami,2024-05-17,86.44,30.0,10.0,1.0,1.0,Yes,4.0
SURV0117,CUST0135,Houston,2024-03-19,403.8,37.0,3.0,7.0,10.0,Yes,6.7
SURV0046,CUST0136,Dallas,2024-05-15,334.64,43.0,4.0,9.0,1.0,No,4.7
SURV0221,CUST0302,Dallas,2024-07-14,332.23,37.0,6.0,9.0,6.0,Yes,7.0
SURV0504,CUST0023,Miami,2024-07-01,408.76,20.0,2.0,8.0,3.0,No,4.3
SURV0343,CUST0134,Dallas,2024-06-02,94.87,26.0,5.0,2.0,3.0,No,3.3
SURV0336,CUST0042,Miami,2024-06-08,29.96,38.0,4.0,4.0,8.0,Yes,5.3
SURV0017,CUST0112,Chicago,2024-06-21,159.08,34.0,1.0,5.0,4.0,Yes,3.3
SURV0049,CUST0275,Atlanta,2024-05-11,277.89,23.0,3.0,7.0,5.0,Yes,5.0
SURV0246,CUST0098,Boston,2024-04-21,464.88,11.0,2.0,3.0,9.0,No,4.7
SURV0433,CUST0187,Atlanta,2024-04-05,312.93,19.0,8.0,1.0,3.0,No,4.0
SURV0004,CUST0141,Seattle,2024-08-06,303.34,5.0,7.0,10.0,2.0,Yes,6.3
SURV0454,CUST0343,San Francisco,2024-06-27,454.11,28.0,9.0,6.0,6.0,Yes,7.0
SURV0442,CUST0287,San Francisco,2024-03-05,493.45,1.0,8.0,5.0,6.0,No,6.3
SURV0061,CUST0024,San Francisco,2024-07-23,200.45,3.0,1.0,2.0,5.0,Yes,2.7
SURV0197,CUST0136,San Francisco,2024-03-18,365.72,12.0,9.0,6.0,3.0,Yes,6.0
SURV0384,CUST0340,Boston,2024-06-20,439.96,35.0,5.0,9.0,8.0,Yes,7.3
SURV0545,CUST0221,San Francisco,2024-08-21,312.88,36.0,1.0,8.0,3.0,Yes,4.0
SURV0111,CUST0074,Seattle,2024-04-10,151.98,45.0,8.0,9.0,3.0,Yes,6.7
SURV0387,CUST0136,Boston,2024-04-08,148.2,11.0,8.0,4.0,4.0,Yes,5.3
SURV0320,CUST0261,San Francisco,2024-08-05,132.62,4.0,4.0,8.0,3.0,Yes,5.0
SURV0030,CUST0143,Dallas,2024-03-15,32.76,42.0,8.0,1.0,8.0,Yes,5.7
SURV0529,CUST0066,New York,2024-06-14,37.62,39.0,9.0,1.0,4.0,Yes,4.7
SURV0226,CUST0031,Atlanta,2024-04-21,129.55,15.0,5.0,1.0,4.0,Yes,3.3
SURV0278,CUST0051,Los Angeles,2024-05-22,328.48,2.0,10.0,2.0,9.0,Yes,7.0
SURV0027,CUST0113,Seattle,2024-08-17,107.84,24.0,3.0,5.0,7.0,Yes,5.0
SURV0008,CUST0053,Chicago,2024-07-11,434.43,23.0,5.0,4.0,4.0,Yes,4.3
SURV0182,CUST0123,Chicago,2024-03-24,65.6,2.0,8.0,8.0,10.0,Yes,8.7
SURV0051,CUST0194,Dallas,2024-03-05,485.1,31.0,1.0,2.0,8.0,Yes,3.7
SURV0230,CUST0170,Houston,2024-04-18,319.26,30.0,3.0,1.0,,Yes,3.3
SURV0038,CUST0173,Boston,2024-07-15,57.86,17.0,7.0,1.0,3.0,Yes,3.7
SURV0158,CUST0135,Los Angeles,2024-07-01,383.19,4.0,4.0,4.0,8.0,Yes,5.3
SURV0238,CUST0277,Los Angeles,2024-08-28,21.91,12.0,9.0,5.0,9.0,Yes,7.7
SURV0540,CUST0281,Dallas,2024-07-17,73.29,11.0,9.0,3.0,5.0,Yes,5.7
SURV0176,CUST0166,Houston,2024-05-12,95.44,11.0,10.0,10.0,6.0,Yes,8.7
SURV0443,CUST0209,Miami,2024-04-28,193.39,8.0,8.0,4.0,1.0,Yes,4.3
SURV0550,CUST0239,Chicago,2024-06-13,388.44,37.0,10.0,8.0,4.0,Yes,7.3
SURV0195,CUST0282,Dallas,2024-07-05,176.12,33.0,9.0,10.0,3.0,No,7.3
SURV0448,CUST0091,Houston,2024-06-01,379.16,10.0,4.0,5.0,2.0,Yes,3.7
SURV0068,CUST0195,Chicago,2024-08-24,403.08,18.0,3.0,6.0,5.0,No,4.7
SURV0376,CUST0155,New York,2024-05-12,166.3,40.0,1.0,2.0,3.0,Yes,2.0
