Reading_ID,Household_ID,Region,Reading_Date,Electricity_kWh,Gas_Consumption_m3,Water_Liters,Temperature_C,Total_Energy_Units
READ0508,HH0295,South,2024-02-02,315.91,293.49,1788.31,29.2,3336.16
READ0322,HH0235,West,2024-11-19,71.07,265.13,757.76,13.8,2841.48
READ0511,HH0268,Central,2024-07-10,97.6,185.43,1841.41,6.3,2026.94
READ0433,HH0113,North,2024-12-17,509.36,201.03,515.58,28.7,2518.82
READ0100,HH0110,East,2024-09-04,551.48,120.18,1554.6,-2.2,1704.63
READ0102,HH0047,East,2024-08-11,273.41,40.78,313.5,21.6,647.23
READ0150,HH0238,Coastal,2024-02-28,521.46,271.07,493.7,-0.8,3263.9
READ0241,HH0131,North,2024-10-26,595.06,133.24,792.57,1.0,1875.86
READ0468,HH0278,Urban,2024-05-05,379.22,151.33,1391.98,0.3,1893.73
READ0385,HH0110,North,2024-07-09,549.36,163.7,1998.41,34.3,2160.34
READ0040,HH0272,South,2024-04-26,132.68,210.31,458.01,27.2,2314.86
READ0348,HH0044,South,2024-11-28,661.09,119.15,1727.79,23.6,1781.67
READ0277,HH0143,North,2024-05-23,241.61,24.46,1719.61,-3.8,451.84
READ0369,HH0004,East,2024-02-09,722.24,144.95,1909.45,17.4,2101.68
READ0133,HH0030,East,2024-02-17,657.35,275.43,334.99,-0.9,3418.23
READ0222,HH0056,West,2024-08-16,648.23,101.06,1370.33,-3.5,1581.08
READ0260,HH0155,West,2024-09-03,425.34,209.78,1367.61,0.4,2544.33
READ0129,HH0001,West,2024-04-03,450.96,15.07,746.04,1.7,519.75
READ0173,HH0298,Urban,2024-07-02,459.4,173.56,1787.09,34.3,2191.69
READ0215,HH0145,Rural,2024-01-26,319.18,285.96,1756.87,17.5,3259.68
READ0353,HH0230,Central,2024-03-13,384.66,170.65,1313.58,15.0,2100.87
READ0333,HH0203,East,2024-02-16,100.03,173.48,1202.13,-1.1,1902.77
READ0306,HH0043,East,2024-04-10,675.09,157.81,786.05,28.7,2197.86
READ0174,HH0051,Central,2024-09-26,433.03,23.77,1645.23,15.4,597.65
READ0007,HH0174,Central,2024-11-17,86.39,231.77,1929.4,-2.5,2504.63
READ0319,HH0155,East,2024-04-10,450.2,231.25,1183.82,33.7,2789.47
READ0533,HH0105,Urban,2024-11-19,567.21,250.82,1363.52,27.4,3088.74
READ0146,HH0270,Urban,2024-06-02,408.78,67.66,494.17,-3.4,1037.95
READ0387,HH0235,Rural,2024-01-01,108.01,31.17,515.82,23.7,414.21
READ0005,HH0042,West,2024-04-18,383.35,178.07,1159.35,6.8,2177.57
READ0515,HH0274,West,2024-05-04,612.47,67.0,1927.18,19.3,1195.4
READ0302,HH0094,Rural,2024-07-22,542.17,287.91,1779.55,34.9,3458.57
READ0217,HH0050,Coastal,2024-05-10,534.39,137.62,507.16,11.4,1873.03
READ0138,HH0032,Urban,2024-08-26,132.12,139.22,480.85,20.3,1567.99
READ0343,HH0243,East,2024-07-18,143.11,31.41,1636.46,29.1,445.93
READ0162,HH0284,South,2024-05-22,294.03,19.1,1902.97,22.8,437.68
READ0413,HH0003,Rural,2024-06-02,251.54,131.82,210.49,13.6,1585.55
READ0345,HH0181,Rural,2024-10-11,284.28,153.58,1366.44,1.1,1841.38
READ0147,HH0196,West,2024-10-07,358.24,171.9,562.89,8.4,2092.1
READ0181,HH0160,Coastal,2024-03-23,789.19,261.19,868.91,7.4,3374.72
READ0135,HH0295,Rural,2024-09-20,541.48,197.26,419.49,1.0,2504.83
READ0272,HH0090,Urban,2024-07-25,,165.04,412.7,-2.2,1944.57
READ0080,HH0002,East,2024-06-05,169.97,270.24,536.06,28.9,2974.03
READ0501,HH0085,West,2024-06-23,554.49,178.27,849.14,2.7,2316.28
READ0282,HH0189,Urban,2024-10-06,681.83,150.02,1001.63,7.8,2121.68
READ0229,HH0267,Rural,2024-02-06,327.88,120.92,1324.71,9.4,1533.29
READ0327,HH0239,Rural,2024-03-28,791.24,115.31,1599.21,7.5,1845.35
READ0012,HH0059,Central,2024-03-26,537.58,128.27,810.33,24.8,1777.71
READ0307,HH0001,South,2024-07-22,83.3,41.95,809.2,25.5,507.92
READ0379,HH0175,Rural,2024-06-15,379.48,297.48,994.89,31.4,3428.12
READ0109,HH0200,South,2024-04-12,404.94,112.97,354.54,,1510.49
READ0015,HH0160,Urban,2024-08-24,513.72,81.55,845.09,-0.7,1268.1
READ0355,HH0121,East,2024-04-12,357.18,36.27,696.01,34.9,667.28
READ0400,HH0147,Central,2024-12-26,642.45,273.41,1641.06,30.1,3386.41
READ0356,HH0096,Urban,2024-10-11,691.01,67.69,1544.29,8.1,1265.1
READ0551,HH0071,Central,2024-10-19,399.87,32.84,1333.6,25.8,666.05
READ0051,HH0256,Central,2024-01-13,187.96,123.82,1554.61,11.4,1452.03
READ0328,HH0175,Central,2024-03-09,773.83,281.46,846.54,18.0,3575.24
READ0009,HH0038,East,2024-11-06,136.96,51.05,1183.89,26.8,646.78
READ0373,HH0089,South,2024-07-25,65.79,20.46,1895.47,8.8,269.36
READ0441,HH0181,South,2024-05-24,213.16,139.09,1996.99,-5.0,1632.97
READ0513,HH0155,Central,2024-01-01,647.64,163.57,939.96,1.1,2236.54
READ0299,HH0078,West,2024-10-15,598.05,16.48,1753.79,14.8,653.23
READ0244,HH0020,Coastal,2024-03-08,553.17,210.1,446.14,0.9,
READ0170,HH0069,North,2024-04-07,280.54,49.72,336.67,15.7,746.83
READ0542,HH0230,West,2024-11-17,385.5,216.2,941.8,-2.5,2579.44
READ0500,HH0007,Central,2024-04-14,648.2,71.65,872.02,2.5,1271.76
READ0403,HH0232,South,2024-12-07,376.6,80.78,1372.11,2.5,1150.84
READ0357,HH0221,Coastal,2024-05-11,58.01,70.96,1323.78,-2.4,792.81
READ0529,HH0181,Rural,2024-12-08,349.27,259.85,1634.76,18.1,3009.48
READ0294,HH0137,Coastal,2024-07-07,66.24,37.9,1864.69,25.1,452.81
READ0283,HH0074,North,2024-06-14,409.83,15.57,1737.02,11.0,493.09
READ0290,HH0254,North,2024-11-27,176.67,50.13,1956.89,0.2,669.66
READ0394,HH0082,East,2024-01-18,318.9,97.14,744.28,11.4,1275.83
READ0203,HH0170,North,2024-09-02,544.86,99.72,1186.49,4.5,1484.13
READ0314,HH0258,Coastal,2024-06-11,306.32,182.9,946.28,25.9,2166.45
READ0326,HH0088,Coastal,2024-08-27,626.49,57.8,1241.27,23.6,1109.33
READ0224,HH0296,East,2024-01-23,650.75,158.83,1032.26,23.3,2189.35
READ0479,HH0070,West,2024-02-27,235.29,206.24,229.99,-0.9,2353.98
READ0261,HH0022,Central,2024-06-07,263.89,62.69,418.44,4.3,869.78
READ0547,HH0065,East,2024-11-24,314.48,129.1,873.2,4.5,1608.01
READ0167,HH0005,Coastal,2024-07-20,172.82,37.76,1372.7,15.8,536.11
READ0298,HH0038,Central,2024-10-22,496.57,168.81,235.44,20.8,2170.0
READ0160,HH0137,South,2024-10-10,437.84,40.66,850.46,5.4,778.05
READ0238,HH0098,Coastal,2024-12-27,470.29,268.39,421.95,31.3,3194.75
READ0329,HH0180,Central,2024-05-17,274.52,52.36,407.05,34.4,769.8
READ0143,HH0145,North,2024-04-24,702.69,72.69,465.36,19.2,1325.86
READ0453,HH0060,West,2024-10-27,415.49,74.92,1651.66,34.6,1120.7
READ0068,HH0279,Central,2024-04-28,272.29,225.65,1886.34,12.3,2589.04
READ0247,HH0256,Urban,2024-06-12,339.1,120.84,1188.89,17.2,1541.29
READ0537,HH0110,East,2024-01-13,218.92,236.34,1208.48,23.5,2657.91
READ0405,HH0156,Coastal,2024-07-04,266.83,217.48,807.45,13.6,2497.81
READ0251,HH0069,Central,2024-03-03,351.14,106.25,693.77,8.9,1397.23
READ0053,HH0151,Coastal,2024-05-19,741.71,112.29,984.22,14.3,1773.4
READ0494,HH0297,Rural,2024-11-25,523.5,229.26,1095.77,2.3,2827.13
READ0157,HH0032,Central,2024-08-11,342.68,11.25,987.2,8.2,393.26
READ0257,HH0097,Coastal,2024-01-16,495.93,131.24,1057.61,6.4,1775.82
READ0139,HH0026,Central,2024-08-11,281.77,45.98,783.13,-1.1,708.99
READ0504,HH0007,Urban,2024-01-26,407.2,175.6,980.82,27.6,2170.54
READ0085,HH0225,South,2024-04-07,790.94,156.77,1646.27,21.7,2280.48
READ0137,HH0116,Urban,2024-05-07,288.04,127.15,1665.1,-2.8,1567.17
READ0410,HH0118,East,2024-04-10,349.28,189.65,1379.59,-0.2,2272.13
READ0191,HH0116,Coastal,2024-06-11,91.28,214.9,1830.46,28.7,2331.3
READ0209,HH0007,Rural,2024-03-12,458.02,110.03,944.44,23.7,1522.68
READ0036,HH0011,South,2024-06-10,237.52,64.25,1384.45,22.2,866.03
READ0026,HH0030,Central,2024-12-27,340.99,20.86,269.32,,492.09
READ0461,HH0146,East,2024-10-21,166.27,51.86,1096.91,-2.2,678.64
READ0467,HH0138,East,2024-11-24,767.55,52.64,1536.87,-0.2,1168.3
READ0510,HH0267,West,2024-12-05,80.69,159.39,912.37,14.5,1739.06
READ0536,HH0009,Central,2024-05-15,57.5,21.37,1671.78,-2.1,272.06
READ0344,HH0276,East,2024-01-27,129.69,194.19,675.33,3.8,2143.42
READ0169,HH0168,Central,2024-04-25,384.39,273.24,1167.54,31.3,3177.7
READ0459,HH0067,North,2024-08-06,190.34,208.63,1726.12,18.8,2344.61
READ0559,HH0271,Rural,2024-01-20,305.35,238.4,1924.04,1.8,2749.4
READ0503,HH0259,West,2024-03-07,194.58,215.18,1367.61,17.6,2416.42
READ0477,HH0178,South,2024-02-02,326.33,164.29,716.92,19.0,1986.83
READ0375,HH0258,Central,2024-04-09,479.73,33.96,483.58,1.9,740.85
READ0151,HH0194,West,2024-12-21,364.38,76.92,235.27,6.0,1099.4
READ0074,HH0094,West,2024-03-07,170.96,177.66,1069.66,25.5,2003.27
READ0434,HH0206,West,2024-12-02,627.66,174.3,1022.26,20.4,2333.3
READ0097,HH0246,West,2024-06-14,680.59,279.06,1287.04,32.9,3475.89
READ0185,HH0290,West,2024-03-17,730.17,71.63,1687.2,-1.8,1337.94
READ0258,HH0082,West,2024-10-02,519.16,79.73,352.97,28.2,1252.85
READ0196,HH0276,Rural,2024-05-14,166.49,258.5,976.58,31.6,2848.42
READ0512,HH0276,West,2024-08-04,198.57,246.99,892.32,28.2,2753.14
READ0023,HH0039,Central,2024-02-15,220.22,75.7,1591.76,-4.0,972.62
READ0318,HH0029,Central,2024-05-19,281.32,23.76,1407.1,-0.3,475.94
READ0021,HH0109,North,2024-03-04,432.27,139.1,700.0,,1807.07
READ0370,HH0255,Rural,2024-03-14,518.85,298.03,729.53,14.0,3545.12
READ0048,HH0080,Coastal,2024-11-03,141.45,287.78,1464.85,13.7,
READ0532,HH0194,Rural,2024-06-03,131.17,149.93,1619.72,12.2,1680.82
READ0337,HH0070,Central,2024-08-14,147.91,52.39,760.92,14.1,669.18
READ0227,HH0179,North,2024-03-24,115.74,172.12,1088.71,-3.6,1900.94
READ0471,HH0173,West,2024-04-07,115.07,294.21,1974.57,18.9,3183.24
READ0303,HH0146,West,2024-06-23,411.78,33.41,785.78,19.5,681.01
READ0045,HH0192,East,2024-08-17,,298.71,506.75,22.7,3233.44
READ0186,HH0175,Rural,2024-02-20,,251.99,330.78,17.3,3273.59
READ0526,HH0101,North,2024-02-14,610.01,238.91,1489.75,29.6,2998.05
READ0398,HH0071,Coastal,2024-05-10,752.88,21.56,1913.38,2.1,
READ0291,HH0049,South,2024-06-10,765.32,53.42,1893.5,4.9,1175.06
READ0466,HH0052,West,2024-02-13,138.35,293.72,273.38,10.1,3195.01
READ0530,HH0280,Rural,2024-11-11,298.58,37.52,1944.89,15.1,634.77
READ0047,HH0180,West,2024-02-16,606.32,64.33,626.3,6.4,1161.15
READ0240,HH0091,Coastal,2024-02-24,322.31,116.79,1640.02,31.5,1485.78
READ0041,HH0275,South,2024-09-15,594.98,45.95,,16.0,959.28
READ0332,HH0176,South,2024-12-06,707.62,281.25,272.9,18.0,3519.49
READ0014,HH0061,North,2024-08-27,402.76,84.34,537.8,11.3,1208.32
READ0392,HH0115,Rural,2024-07-03,653.8,65.14,1634.36,26.0,1208.64
READ0543,HH0027,West,2024-01-02,635.81,110.4,823.87,0.4,1668.67
READ0123,HH0225,West,2024-10-18,160.74,18.67,1131.93,21.0,325.76
READ0149,HH0208,East,2024-05-09,163.78,287.54,1693.76,20.1,3151.89
READ0011,HH0006,Urban,2024-08-18,692.14,10.18,416.36,19.0,661.02
READ0528,HH0175,Central,2024-08-03,557.08,160.28,1054.38,6.0,2129.66
READ0451,HH0179,Coastal,2024-05-27,759.36,207.03,280.02,14.4,2781.58
READ0235,HH0253,West,2024-01-06,742.36,143.31,712.74,31.1,2099.36
READ0437,HH0015,West,2024-01-25,520.58,102.77,1995.93,8.6,1497.54
READ0121,HH0165,North,2024-03-07,102.78,126.27,256.97,16.8,1408.32
READ0507,HH0279,West,2024-03-21,200.92,17.94,1827.83,-3.2,350.93
READ0223,HH0042,Central,2024-10-14,668.05,140.2,286.69,18.2,2006.83
READ0492,HH0241,Urban,2024-07-06,530.06,288.42,482.34,10.0,3452.94
READ0465,HH0251,Urban,2024-02-26,437.23,297.04,878.62,-1.7,3469.58
READ0300,HH0012,Rural,2024-12-19,621.1,159.97,990.27,15.7,2177.56
READ0360,HH0291,East,2024-04-24,632.63,16.32,1869.39,31.8,679.33
READ0431,HH0016,Central,2024-09-18,297.43,207.36,1225.22,19.0,2416.45
READ0259,HH0280,Coastal,2024-06-07,226.88,238.45,1950.8,29.2,2687.18
READ0029,HH0165,Rural,2024-01-01,742.36,237.67,387.12,2.4,3089.81
READ0486,HH0044,Rural,2024-06-10,716.01,79.73,1127.01,9.8,1411.1
READ0226,HH0215,Central,2024-07-21,798.12,280.41,1736.54,31.5,3584.54
READ0432,HH0214,Rural,2024-06-12,410.2,203.41,850.66,-0.8,2464.82
READ0034,HH0211,South,2024-10-07,355.09,298.14,1504.2,19.8,3416.05
READ0454,HH0132,Rural,2024-11-06,,257.28,557.25,13.2,2951.22
READ0428,HH0221,South,2024-03-15,146.76,188.66,1174.88,26.8,2099.51
READ0225,HH0260,North,2024-09-19,310.62,218.04,1462.25,31.6,2539.38
READ0130,HH0212,West,2024-02-26,360.18,180.19,1728.9,-4.9,2181.87
READ0338,HH0066,West,2024-07-04,208.65,22.27,1156.88,0.3,401.91
READ0046,HH0108,Rural,2024-06-19,715.4,201.94,330.73,1.3,2693.02
READ0201,HH0284,Rural,2024-06-28,564.61,130.85,1050.24,24.4,1826.66
READ0267,HH0173,Rural,2024-09-20,597.35,299.54,1404.71,26.8,3624.45
READ0263,HH0244,North,2024-09-20,634.18,88.18,1055.93,31.8,1434.29
READ0499,HH0140,Urban,2024-08-10,785.68,290.2,770.13,25.5,3676.41
READ0004,HH0132,Central,2024-09-05,107.97,119.71,942.82,-3.6,1344.27
READ0192,HH0010,West,2024-08-01,78.45,154.02,1053.42,11.6,1681.02
READ0490,HH0287,Urban,2024-08-04,82.08,165.06,695.97,3.2,1799.49
READ0496,HH0173,Central,2024-08-25,488.72,209.12,855.48,22.1,2587.59
READ0371,HH0265,North,2024-03-22,741.4,149.92,796.95,-2.2,2168.08
READ0195,HH0050,Rural,2024-09-28,715.44,224.23,1428.18,17.4,2928.2
READ0073,HH0087,Urban,2024-10-12,709.86,116.25,836.17,16.2,1789.35
READ0442,HH0227,South,2024-12-03,151.5,170.81,1326.91,-0.5,1916.03
READ0105,HH0201,Central,2024-04-17,83.32,242.96,1605.91,15.5,2619.34
READ0516,HH0167,West,2024-09-11,737.41,132.53,1917.17,31.1,1983.41
READ0119,HH0213,West,2024-01-26,227.23,111.85,697.44,31.8,1356.91
READ0113,HH0194,Rural,2024-08-01,72.86,180.65,1716.4,0.2,1956.83
READ0497,HH0096,South,2024-05-07,196.39,282.78,1685.76,-0.5,3127.99
READ0213,HH0248,Urban,2024-03-23,278.01,86.34,213.66,-0.5,1129.19
READ0122,HH0187,Urban,2024-04-18,309.15,,1731.86,-3.9,532.34
READ0033,HH0049,West,2024-01-19,500.75,188.07,781.39,19.6,2376.12
READ0376,HH0015,South,2024-10-25,82.97,241.6,1271.31,12.4,2604.45
READ0304,HH0010,West,2024-03-19,718.43,44.06,237.64,31.0,1037.61
READ0152,HH0290,North,2024-03-21,136.17,267.29,1314.64,-3.4,2916.8
READ0022,HH0220,West,2024-12-13,134.35,193.78,556.87,-0.1,2142.73
READ0142,HH0292,North,2024-02-28,612.99,61.59,1440.68,18.0,1138.53
READ0525,HH0146,Central,2024-09-16,475.82,255.22,930.36,17.9,3061.4
READ0450,HH0073,East,2024-06-12,411.31,132.05,985.47,12.5,1716.56
READ0336,HH0113,Coastal,2024-05-03,740.8,274.77,1353.9,17.0,3479.08
READ0330,HH0192,Rural,2024-06-10,295.2,125.35,1627.66,-0.3,1553.96
READ0482,HH0036,Urban,2024-08-19,159.15,278.94,1524.78,-0.9,3057.71
READ0220,HH0272,North,2024-05-24,559.93,143.12,1959.23,20.2,1952.66
READ0001,HH0140,North,2024-11-07,791.76,199.86,1569.08,16.7,2733.51
READ0409,HH0222,West,2024-02-02,128.86,224.21,1325.57,34.1,2458.62
READ0088,HH0139,Central,2024-07-11,595.06,260.52,490.98,25.3,3212.0
READ0383,HH0117,Rural,2024-06-11,353.33,191.74,1410.63,19.1,2297.34
READ0287,HH0262,Coastal,2024-11-09,475.22,114.31,251.53,11.6,1580.68
READ0502,HH0288,East,2024-03-19,465.61,69.28,211.72,33.6,1100.14
READ0474,HH0080,South,2024-01-15,774.55,217.8,575.42,-0.5,2907.12
READ0280,HH0092,Coastal,2024-08-15,505.38,151.17,520.37,27.8,1992.11
READ0443,HH0119,Rural,2024-01-05,602.28,90.02,1352.83,21.3,1428.39
READ0340,HH0072,Central,2024-03-10,305.06,95.08,1891.29,28.5,1244.28
READ0221,HH0239,Coastal,2024-01-27,352.67,91.25,1844.35,29.4,1242.11
READ0538,HH0175,West,2024-11-08,541.69,25.62,1281.39,28.5,703.64
READ0505,HH0255,South,2024-12-10,583.69,135.85,1491.6,22.0,1894.87
READ0081,HH0295,Urban,2024-02-06,98.17,124.95,1109.9,28.0,1391.62
READ0363,HH0099,West,2024-10-03,311.47,26.26,377.71,28.6,525.28
READ0483,HH0296,Urban,2024-08-03,78.92,188.63,1230.37,14.1,2044.98
READ0158,HH0043,Urban,2024-05-20,487.22,32.43,605.79,32.5,730.9
READ0335,HH0145,Coastal,2024-11-16,659.15,116.54,1081.26,6.6,1752.07
READ0059,HH0300,North,2024-04-13,351.78,201.44,575.41,29.7,2397.12
READ0002,HH0214,East,2024-12-06,462.16,257.59,492.45,17.2,3074.92
READ0408,HH0212,North,2024-12-16,358.89,292.75,1566.03,8.3,3362.55
READ0264,HH0265,South,2024-11-01,,68.39,805.23,3.8,1064.29
READ0276,HH0193,Central,2024-03-04,450.54,134.09,677.97,7.1,1769.05
READ0553,HH0187,South,2024-05-01,686.19,58.28,853.14,14.9,1161.75
READ0350,HH0111,Central,2024-07-17,442.81,109.01,1684.86,13.6,1500.54
READ0447,HH0241,Urban,2024-09-16,757.61,126.75,293.05,16.6,1937.26
READ0096,HH0135,East,2024-09-20,791.74,217.81,1387.71,12.0,2921.78
READ0013,HH0146,Urban,2024-08-16,793.04,37.07,965.3,27.3,1024.63
READ0084,HH0233,Rural,2024-07-02,468.15,110.12,441.76,10.0,1531.22
READ0106,HH0084,West,2024-07-10,389.95,146.59,1145.81,18.3,1852.3
READ0171,HH0035,West,2024-05-07,461.63,242.74,610.21,34.2,2918.68
READ0541,HH0114,Rural,2024-11-04,472.1,72.79,1203.8,31.7,1143.18
READ0194,HH0063,Rural,2024-11-07,491.78,48.27,1043.81,24.3,901.3
READ0390,HH0277,Coastal,2024-04-24,756.26,283.29,917.27,19.0,3580.47
READ0380,HH0262,Rural,2024-03-26,786.23,291.66,1596.02,20.4,3693.01
READ0075,HH0006,Central,2024-05-09,278.68,13.71,930.3,26.1,367.83
READ0245,HH0053,West,2024-11-14,687.68,130.1,1105.62,32.7,1917.3
READ0498,HH0261,Central,2024-07-12,264.79,64.14,1329.27,5.7,886.63
READ0480,HH0201,East,2024-04-28,248.81,136.47,1677.18,-3.2,1633.66
READ0250,HH0178,East,2024-07-07,621.39,59.2,236.78,24.4,1118.95
READ0425,HH0215,North,2024-06-17,177.17,143.6,1016.71,20.5,1650.55
READ0178,HH0043,South,2024-02-27,654.89,12.95,375.8,12.6,660.26
READ0414,HH0228,Central,2024-07-11,713.99,155.61,731.33,33.0,2205.83
READ0293,HH0062,Urban,2024-12-18,347.99,224.58,460.48,16.7,2636.94
READ0274,HH0055,Urban,2024-01-03,680.56,180.36,1307.97,-1.4,2439.54
READ0154,HH0198,Central,2024-06-06,709.17,291.33,1853.17,4.2,3628.15
READ0439,HH0129,West,2024-02-28,191.16,138.86,1261.7,3.7,1612.22
READ0367,HH0153,West,2024-01-05,714.4,245.96,1890.12,25.2,3155.99
READ0175,HH0275,West,2024-07-19,779.18,142.46,1734.11,0.6,2120.91
READ0262,HH0147,North,2024-04-12,91.63,173.09,781.36,17.0,1891.53
READ0275,HH0202,East,2024-09-09,179.09,113.32,381.45,32.1,1333.51
READ0116,HH0016,Urban,2024-01-14,329.98,256.61,1875.73,-2.1,2960.26
